date,couverture facebook,visites facebook,interactions faceBook,couverture instagram,interactions instagram,visites instagram,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers,eventCount
2024-10-08,74,9,4,56,10,3,11,7,28,192.0641280909091,0.3636363636363636,7,3,61
2024-10-09,36,11,0,156,21,11,5,4,47,2664.9345996,0.2,4,1,90
2024-10-10,49,13,7,172,10,7,5,5,6,7.855487599999998,0.8,1,3,18
2024-10-11,45,6,5,79,2,5,5,5,15,74.029395,0.4,3,3,30
2024-10-12,81,10,2,75,13,9,1,1,1,23.156535,0.0,1,1,5
2024-10-13,29,3,3,121,4,8,3,3,6,167.23259633333333,0.3333333333333333,2,2,19
2024-10-14,24,1,0,14,8,2,27,14,305,1071.2132167407408,0.2592592592592592,20,8,570
2024-10-15,56,12,7,63,1,3,12,7,36,200.78255975,0.1666666666666666,10,2,71
2024-10-16,12,0,0,16,3,3,5,3,51,849.0946034000001,0.4,3,0,91
2024-10-17,62,4,10,73,13,0,15,8,259,1333.4314126666666,0.2666666666666666,11,3,400
2024-10-18,78,0,6,98,18,9,1,1,1,0.0,1.0,0,0,2
2024-10-19,90,12,8,112,20,7,17,10,109,1056.2474117058823,0.3529411764705882,11,6,176
2024-10-20,238,7,10,136,16,6,5,2,12,241.1052518,0.6,2,1,27
2024-10-21,1043,15,50,120,10,7,26,17,168,715.4120841538462,0.6153846153846154,10,13,316
2024-10-22,2240,56,185,42,3,0,37,22,268,754.9060843243243,0.4054054054054054,22,17,471
2024-10-23,521,13,28,63,1,1,13,10,30,232.3236413846154,0.3076923076923077,9,3,64
2024-10-24,448,24,30,48,13,5,9,9,10,22.566009444444447,0.6666666666666666,3,7,34
2024-10-25,338,27,24,139,13,2,6,6,16,189.3115006666667,0.3333333333333333,4,4,41
2024-10-26,308,93,37,95,3,1,14,14,29,116.00021607142855,0.3571428571428571,9,13,87
2024-10-27,287,20,21,101,12,3,14,13,22,75.7155252142857,0.1428571428571428,12,13,79
2024-10-28,262,12,10,20,0,1,7,7,18,289.44771685714284,0.5714285714285714,3,5,48
2024-10-29,451,5,16,2,0,3,3,3,7,49.23943033333333,0.3333333333333333,2,2,18
2024-10-30,928,10,42,8,0,1,10,8,19,50.3434524,0.3,7,3,52
2024-10-31,440,7,10,45,0,5,9,9,18,31.569858888888888,0.5555555555555555,4,8,46
2024-11-01,383,7,14,51,3,2,21,20,39,33.802943523809525,0.619047619047619,8,19,124
2024-11-02,162,6,8,77,0,3,4,3,11,459.1711360000001,0.25,3,0,29
2024-11-03,151,3,6,19,0,5,7,4,12,63.60327385714286,0.4285714285714285,4,1,33
2024-11-04,1026,10,91,74,0,3,18,16,114,1623.7562824444444,0.3888888888888889,11,13,237
2024-11-05,585,8,35,3,0,2,16,9,56,663.694230875,0.1875,13,5,141
2024-11-06,402,13,17,96,22,1,11,10,16,111.401296,0.6363636363636364,4,4,47
2024-11-07,276,7,12,46,12,5,3,2,7,823.2380589999998,0.0,3,1,16
2024-11-08,323,10,7,55,1,3,7,5,10,6.961023571428571,0.5714285714285714,3,4,26
2024-11-09,191,3,5,99,16,2,6,6,23,361.4468676666667,0.1666666666666666,5,4,48
2024-11-10,170,3,3,47,6,0,3,3,24,256.9274523333333,0.0,3,2,55
2024-11-11,145,0,7,130,20,3,14,14,15,13.096161571428572,0.5714285714285714,6,14,56
2024-11-12,315,8,24,50,10,4,5,5,10,53.1093228,0.4,3,4,31
2024-11-13,239,24,13,90,19,3,5,5,6,7.9426656,0.6,2,5,19
2024-11-14,734,11,20,58,8,8,21,21,22,21.697904333333334,0.3333333333333333,14,21,86
2024-11-15,446,12,15,69,4,0,2,2,2,18.755924,0.5,1,2,7
2024-11-16,391,22,15,21,4,5,2,2,7,92.169312,0.5,1,2,20
2024-11-17,867,24,38,65,0,1,14,13,39,64.69621471428572,0.2142857142857142,11,10,97
2024-11-18,341,20,9,95,15,4,7,7,24,380.283702,0.2857142857142857,5,4,55
2024-11-19,314,5,16,32,1,0,3,3,8,95.56680733333332,0.0,3,2,21
2024-11-20,243,0,9,52,3,1,6,6,7,15.272202666666669,0.8333333333333333,1,5,21
2024-11-21,713,21,10,29,1,1,9,9,18,37.95250377777778,0.5555555555555555,4,9,59
2024-11-22,413,16,8,127,34,3,4,4,6,61.3394595,0.5,2,4,18
2024-11-23,232,8,12,98,9,1,7,7,18,845.0098545714286,0.2857142857142857,5,4,45
2024-11-24,136,3,3,49,7,2,3,3,6,36.282085,0.3333333333333333,2,3,17
2024-11-25,154,3,13,141,9,10,10,7,20,243.10188320000003,0.3,7,6,63
2024-11-26,854,20,51,122,4,7,3,3,6,20.764022333333333,0.3333333333333333,2,2,16
2024-11-27,265,6,7,116,26,2,9,9,9,18.47588011111111,0.4444444444444444,5,8,37
2024-11-28,189,20,7,58,11,6,12,9,35,801.56406325,0.25,9,5,84
2024-11-29,1196,33,35,85,14,2,9,6,10,19.686689,0.5555555555555555,4,5,35
