date,couverture_facebook,visites_facebook,interactions_facebook,couverture_instagram,interactions_instagram,visites_instagram,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers
2024-08-07,40,2,3,112,0,3,2,2,15,361.516,0,2,2
2024-08-08,4,0,1,5,0,2,5,5,9,41.7908,0.4,3,5
2024-08-09,2,0,0,4,0,3,2,2,2,4.8136,1,0,2
2024-08-10,12,0,4,51,0,21,1,1,6,138.158,0,1,0
2024-08-11,26,3,7,48,0,6,4,4,5,58.795,0.25,3,4
2024-08-12,19,2,1,18,1,1,4,4,6,138.81,0.5,2,3
2024-08-13,4,6,0,4,0,8,4,4,19,375.654,0.25,3,4
2024-08-14,4,0,0,2,0,3,2,2,8,180.829,0,2,2
2024-08-16,4,3,0,121,48,14,2,2,3,36.7319,0,2,2
2024-08-17,4,0,0,50,15,4,3,3,9,35.2929,0.666667,1,2
2024-08-18,29,4,3,71,5,3,3,3,3,0,1,0,2
2024-08-19,11,6,0,50,5,15,1,1,1,0,1,0,1
2024-08-20,34,6,3,84,2,3,2,2,8,1131.68,0,2,1
2024-08-21,55,3,5,71,14,12,5,5,40,451.212,0.2,4,3
2024-08-22,47,6,3,79,2,4,3,3,8,1040.77,0,3,2
2024-08-23,36,4,10,69,2,6,7,7,23,154.623,0.142857,6,6
2024-08-24,157,9,20,40,5,6,6,6,7,17.9569,0.5,3,4
2024-08-25,153,12,13,76,5,7,4,4,9,74.1499,0.25,3,4
2024-08-26,106,6,8,96,17,11,7,6,14,449.983,0.428571,4,3
2024-08-27,77,4,17,689,40,18,1,1,6,334.294,0,1,1
2024-08-28,56,3,8,87,22,5,4,2,15,84.9246,0.5,2,0
2024-08-30,64,12,13,93,24,7,7,6,12,66.8464,0.714286,2,6
2024-08-31,36,35,1,39,4,3,4,2,14,84.3015,0.75,1,2
2024-09-01,21,7,2,18,3,1,3,3,17,116.128,0.333333,2,3
2024-09-02,26,6,4,40,7,5,28,26,69,274.447,0.75,7,24
2024-09-03,91,3,68,99,17,15,3,3,8,112.952,0.333333,2,2
2024-09-04,94,16,30,132,43,12,2,2,6,93.3072,0.5,1,1
2024-09-05,65,5,13,101,4,10,4,4,4,160.816,0.5,2,3
2024-09-06,82,16,28,220,27,13,2,2,8,199.383,0,2,2
2024-09-07,94,14,25,134,37,15,0,0,0,0,0,0,0
2024-09-08,80,15,32,118,19,12,0,0,0,0,0,0,0
2024-09-09,63,13,12,93,13,5,0,0,0,0,0,0,0
2024-09-10,72,6,16,117,16,5,1,1,1,0,1,0,1
2024-09-11,74,9,19,115,18,6,2,2,3,102.84,0,2,2
2024-09-12,76,6,19,89,17,15,0,0,0,0,0,0,0
2024-09-13,75,17,12,95,15,8,5,4,6,21.4726,0.4,3,3
2024-09-14,83,9,31,80,9,10,0,0,0,0,0,0,0
2024-09-15,110,17,42,214,44,21,2,2,3,34.8309,0,2,2
2024-09-16,83,0,5,124,21,20,0,0,0,0,0,0,0
2024-09-17,77,12,7,121,13,14,0,0,0,0,0,0,0
2024-09-18,20,6,0,63,5,14,4,4,12,104.787,0.25,3,1
2024-09-19,51,12,3,97,28,6,4,3,11,328.394,0.5,2,1
2024-09-20,232,9,2,121,26,4,6,6,10,14.9233,0.666667,2,5
2024-09-21,17,6,0,45,8,6,2,2,2,0,1,0,2
2024-09-22,42,4,3,90,1,13,2,2,6,52.5558,0.5,1,2
2024-09-23,191,16,11,73,7,4,16,13,89,632.658,0.375,10,10
2024-09-24,99,14,1,89,2,3,15,8,73,796.37,0.0666667,14,2
2024-09-25,74,13,4,72,7,7,16,10,107,872.126,0.25,12,5
2024-09-26,77,9,12,79,12,3,16,8,212,1456.72,0.25,12,3
2024-09-27,96,10,3,200,14,4,8,8,18,52.4107,0.5,4,7
2024-09-28,309,20,10,91,13,8,6,6,59,533.068,0.5,3,1
2024-09-29,119,21,17,130,27,7,9,8,24,231.43,0.222222,7,3
2024-09-30,67,22,15,182,14,7,9,6,14,96.9998,0.444444,5,4
2024-10-01,60,10,8,102,12,5,13,8,50,707.354,0.384615,8,5
2024-10-02,35,0,2,60,5,4,7,6,48,1774.64,0.571429,3,3
2024-10-03,91,10,8,113,9,3,25,17,67,256.429,0.52,12,10
2024-10-04,186,9,12,63,6,7,18,9,99,603.924,0.333333,12,3
2024-10-05,82,2,1,32,1,0,1,1,7,918.958,0,1,1
2024-10-06,117,4,3,146,6,4,2,2,9,98.1135,0,2,1
2024-10-07,94,13,8,144,1,7,6,5,33,929.457,0.5,3,2
2024-10-08,74,9,4,56,10,3,11,7,28,192.064,0.363636,7,3
2024-10-09,36,11,0,156,21,11,5,4,47,2664.93,0.2,4,1
2024-10-10,49,13,7,172,10,7,5,5,6,7.85549,0.8,1,3
2024-10-11,45,6,5,79,2,5,5,5,15,74.0294,0.4,3,3
2024-10-12,81,10,2,75,13,9,1,1,1,23.1565,0,1,1
2024-10-13,29,3,3,121,4,8,3,3,6,167.233,0.333333,2,2
2024-10-14,24,1,0,14,8,2,27,14,305,1071.21,0.259259,20,8
2024-10-15,56,12,7,63,1,3,12,7,36,200.783,0.166667,10,2
2024-10-16,12,0,0,16,3,3,5,3,51,849.095,0.4,3,0
2024-10-17,62,4,10,73,13,0,15,8,259,1333.43,0.266667,11,3
2024-10-18,78,0,6,98,18,9,1,1,1,0,1,0,0
2024-10-19,90,12,8,112,20,7,17,10,109,1056.25,0.352941,11,6
2024-10-20,238,7,10,136,16,6,5,2,12,241.105,0.6,2,1
2024-10-21,1043,15,50,120,10,7,26,17,168,715.412,0.615385,10,13
2024-10-22,2240,56,185,42,3,0,37,22,268,754.906,0.405405,22,17
2024-10-23,521,13,28,63,1,1,13,10,30,232.324,0.307692,9,3
2024-10-24,448,24,30,48,13,5,9,9,10,22.566,0.666667,3,7
2024-10-25,338,27,24,139,13,2,6,6,16,189.312,0.333333,4,4
2024-10-26,308,93,37,95,3,1,14,14,29,116,0.357143,9,13
2024-10-27,287,20,21,101,12,3,14,13,22,75.7155,0.142857,12,13
2024-10-28,262,12,10,20,0,1,7,7,18,289.448,0.571429,3,5
2024-10-29,451,5,16,2,0,3,3,3,7,49.2394,0.333333,2,2
2024-10-30,928,10,42,8,0,1,10,8,19,50.3435,0.3,7,3
2024-10-31,440,7,10,45,0,5,9,9,18,31.5699,0.555556,4,8
2024-11-01,383,7,14,51,3,2,21,20,39,33.8029,0.619048,8,19
2024-11-02,162,6,8,77,0,3,4,3,11,459.171,0.25,3,0
2024-11-03,151,3,6,19,0,5,7,4,12,63.6033,0.428571,4,1
2024-11-04,1026,10,91,74,0,3,18,16,114,1623.76,0.388889,11,13
2024-11-05,585,8,35,3,0,2,16,9,56,663.694,0.1875,13,5
2024-11-06,402,13,17,96,22,1,11,10,16,111.401,0.636364,4,4
2024-11-07,276,7,12,46,12,5,3,2,7,823.238,0,3,1
2024-11-08,323,10,7,55,1,3,7,5,10,6.96102,0.571429,3,4
2024-11-09,191,3,5,99,16,2,6,6,23,361.447,0.166667,5,4
2024-11-10,170,3,3,47,6,0,3,3,24,256.927,0,3,2
2024-11-11,145,0,7,130,20,3,14,14,15,13.0962,0.571429,6,14
2024-11-12,315,8,24,50,10,4,5,5,10,53.1093,0.4,3,4
2024-11-13,239,24,13,90,19,3,5,5,6,7.94267,0.6,2,5
2024-11-14,734,11,20,58,8,8,21,21,22,21.6979,0.333333,14,21
2024-11-15,446,12,15,69,4,0,2,2,2,18.7559,0.5,1,2
2024-11-16,391,22,15,21,4,5,2,2,7,92.1693,0.5,1,2
2024-11-17,867,24,38,65,0,1,14,13,39,64.6962,0.214286,11,10
2024-11-18,341,20,9,95,15,4,7,7,24,380.284,0.285714,5,4
2024-11-19,314,5,16,32,1,0,3,3,8,95.5668,0,3,2
2024-11-20,243,0,9,52,3,1,6,6,7,15.2722,0.833333,1,5
2024-11-21,713,21,10,29,1,1,9,9,18,37.9525,0.555556,4,9
2024-11-22,413,16,8,127,34,3,4,4,6,61.3395,0.5,2,4
2024-11-23,232,8,12,98,9,1,7,7,18,845.01,0.285714,5,4
2024-11-24,136,3,3,49,7,2,3,3,6,36.2821,0.333333,2,3
2024-11-25,154,3,13,141,9,10,10,7,20,243.102,0.3,7,6
2024-11-26,854,20,51,122,4,7,3,3,6,20.764,0.333333,2,2
2024-11-27,265,6,7,116,26,2,9,9,9,18.4759,0.444444,5,8
2024-11-28,189,20,7,58,11,6,12,9,35,801.564,0.25,9,5
2024-11-29,1196,33,35,85,14,2,9,6,10,19.6867,0.555556,4,5
