date,couverture facebook,visites facebook,interactions faceBook,couverture instagram,interactions instagram,visites instagram
08/10/2024,74,9,4,56,10,3
09/10/2024,36,11,0,156,21,11
10/10/2024,49,13,7,172,10,7
11/10/2024,45,6,5,79,2,5
12/10/2024,81,10,2,75,13,9
13/10/2024,29,3,3,121,4,8
14/10/2024,24,1,0,14,8,2
15/10/2024,56,12,7,63,1,3
16/10/2024,12,0,0,16,3,3
17/10/2024,62,4,10,73,13,0
18/10/2024,78,0,6,98,18,9
19/10/2024,90,12,8,112,20,7
20/10/2024,238,7,10,136,16,6
21/10/2024,1043,15,50,120,10,7
22/10/2024,2240,56,185,42,3,0
23/10/2024,521,13,28,63,1,1
24/10/2024,448,24,30,48,13,5
25/10/2024,338,27,24,139,13,2
26/10/2024,308,93,37,95,3,1
27/10/2024,287,20,21,101,12,3
28/10/2024,262,12,10,20,0,1
29/10/2024,451,5,16,2,0,3
30/10/2024,928,10,42,8,0,1
31/10/2024,440,7,10,45,0,5
01/11/2024,383,7,14,51,3,2
02/11/2024,162,6,8,77,0,3
03/11/2024,151,3,6,19,0,5
04/11/2024,1026,10,91,74,0,3
05/11/2024,585,8,35,3,0,2
06/11/2024,402,13,17,96,22,1
07/11/2024,276,7,12,46,12,5
08/11/2024,323,10,7,55,1,3
09/11/2024,191,3,5,99,16,2
10/11/2024,170,3,3,47,6,0
11/11/2024,145,0,7,130,20,3
12/11/2024,315,8,24,50,10,4
13/11/2024,239,24,13,90,19,3
14/11/2024,734,11,20,58,8,8
15/11/2024,446,12,15,69,4,0
16/11/2024,391,22,15,21,4,5
17/11/2024,867,24,38,65,0,1
18/11/2024,341,20,9,95,15,4
19/11/2024,314,5,16,32,1,0
20/11/2024,243,0,9,52,3,1
21/11/2024,713,21,10,29,1,1
22/11/2024,413,16,8,127,34,3
23/11/2024,232,8,12,98,9,1
24/11/2024,136,3,3,49,7,2
25/11/2024,154,3,13,141,9,10
26/11/2024,854,20,51,122,4,7
27/11/2024,265,6,7,116,26,2
28/11/2024,189,20,7,58,11,6
29/11/2024,1196,33,35,85,14,2
30/11/2024,407,8,16,79,19,6
01/12/2024,176,6,4,35,3,8
02/12/2024,184,5,5,75,5,2
03/12/2024,208,12,15,23,3,1
04/12/2024,113,6,3,59,14,0
05/12/2024,494,19,16,28,4,1
06/12/2024,205,6,23,96,21,1
07/12/2024,83,3,2,88,13,3
08/12/2024,95,9,6,41,5,2
