date,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers,eventCount
20250324,35,25,64,159.89269142857142,0.42857142857142855,20,21,178
20250309,24,24,49,52.648093750000008,0.41666666666666669,14,21,138
20250219,22,15,47,231.58354754545454,0.45454545454545453,12,8,126
20250303,20,12,87,285.00409955,0.35,13,9,192
20250313,18,16,28,18.734347333333332,0.61111111111111116,7,12,74
20250320,18,14,37,135.80062933333332,0.27777777777777779,13,12,112
20250327,18,16,25,23.303791388888886,0.3888888888888889,11,12,83
20250331,18,18,20,22.17512383333333,0.44444444444444442,10,18,83
20250306,17,14,42,339.45367605882353,0.17647058823529413,14,13,113
20250308,17,15,47,165.04265005882351,0.17647058823529413,14,14,134
20250203,14,14,23,47.752443642857138,0.35714285714285715,9,14,79
20250118,13,12,18,59.06759576923077,0.53846153846153844,6,10,62
20250311,13,11,36,280.41341515384613,0.15384615384615385,11,10,102
20250326,13,11,28,199.52100569230771,0.30769230769230771,9,9,79
20250222,12,11,15,41.816889249999996,0.25,9,9,48
20250319,12,8,26,234.71343491666667,0.5,6,5,73
20250402,12,9,19,74.025342250000008,0.41666666666666669,7,6,52
20250122,11,11,14,38.049665181818177,0.45454545454545453,6,11,53
20250130,11,11,15,142.057239,0.27272727272727271,8,9,48
20250207,11,11,13,14.862900818181817,0.45454545454545453,6,10,47
20250209,11,9,41,483.45584363636368,0.45454545454545453,6,6,95
20250214,11,9,25,44.775572636363634,0.63636363636363635,4,7,54
20250312,11,10,15,144.34065536363636,0.54545454545454541,5,5,43
20250301,10,10,25,128.7259552,0.4,6,6,60
20250302,10,7,99,774.8140721,0.3,7,5,212
20250310,10,6,19,207.344281,0.5,5,3,55
20250317,10,10,17,194.4836448,0.2,8,10,65
20250128,9,8,19,177.51802,0.33333333333333331,6,8,57
20250218,9,6,14,42.091301666666666,0.22222222222222221,7,4,38
20250305,9,7,43,339.29005933333332,0.55555555555555558,4,5,72
20250131,7,4,21,158.648977,0.42857142857142855,4,3,52
20250212,7,7,7,25.136250999999998,0.14285714285714285,6,7,32
20250217,7,7,9,16.943787,0.8571428571428571,1,5,28
20250307,7,6,29,254.40069114285714,0.2857142857142857,5,6,74
20250316,7,7,12,154.82690128571429,0.7142857142857143,2,5,28
20250318,7,6,12,28.434088,0.42857142857142855,4,4,38
20250322,7,7,16,27.66524742857143,0.5714285714285714,3,4,41
20250329,7,6,10,33.584580142857142,0.7142857142857143,2,5,34
20250115,6,5,23,66.805487166666666,0.33333333333333331,4,4,63
20250119,6,5,17,654.20869066666671,0.33333333333333331,4,3,43
20250126,6,6,8,28.705209999999997,0.66666666666666663,2,3,25
20250127,6,6,13,204.12225566666666,0.16666666666666666,5,6,39
20250204,6,6,12,72.949281166666665,0.5,3,5,30
20250208,6,6,11,29.082248333333336,0.66666666666666663,2,6,33
20250215,6,6,20,469.8986528333333,0.5,3,5,58
20250224,6,4,14,274.7642735,0.33333333333333331,4,2,38
20250228,6,4,11,47.348216833333332,0.66666666666666663,2,3,32
20250325,6,6,18,106.32892249999999,0.16666666666666666,5,5,55
20250401,6,6,10,77.265993333333327,0.33333333333333331,4,5,29
20250403,6,6,6,11.413677333333334,0.66666666666666663,2,5,23
20250404,6,6,11,164.1335635,0.16666666666666666,5,5,34
20250124,5,3,25,642.3039542,0.2,4,1,56
20250125,5,4,12,46.39154,0.6,2,3,28
20250129,5,4,18,558.82099799999992,0,5,2,51
20250202,5,5,5,9.4094906,0.6,2,5,17
20250210,5,5,6,17.2063268,0.4,3,4,18
20250216,5,5,9,205.40287600000002,0,5,4,26
20250220,5,5,9,46.5179532,0.4,3,4,30
20250121,4,3,10,58.688188,0.5,2,1,26
20250205,4,4,20,2547.00432575,0,4,2,46
20250206,4,4,4,111.41176225,0.75,1,3,16
20250221,4,4,11,454.85583475,0,4,3,30
20250223,4,4,8,185.419737,0.25,3,1,19
20250225,4,4,9,66.35932525,0.25,3,4,25
20250321,4,4,7,96.49610175,0,4,4,25
20250323,4,4,11,108.8454675,0.5,2,3,33
20250330,4,4,11,67.563237,0.75,1,4,33
20250114,3,3,3,2.3122513333333332,1,0,2,10
20250117,3,3,10,537.46455966666667,0.33333333333333331,2,2,21
20250304,3,3,3,18.180014333333332,0.33333333333333331,2,3,11
20250314,3,3,8,82.726941666666661,0.33333333333333331,2,2,24
20250315,3,2,17,260.27836066666669,0,3,2,44
20250328,3,3,2,51.03864866666666,0.66666666666666663,1,1,10
20250116,2,2,6,60.4883775,0,2,2,19
20250120,1,1,15,220.921407,0,1,1,34
20250123,1,1,1,0,1,0,0,2
20250201,1,1,1,0,1,0,1,3
20250211,1,1,2,393.572791,0,1,0,6
20250213,1,1,1,45.960391,0,1,1,5
20250226,1,1,1,34.002816,0,1,1,4
20250227,1,1,2,489.744331,0,1,1,7
