date,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers,eventCount
20240902,8,6,48,2170.6941495,0.375,5,4,135
20240823,7,7,23,154.62283614285712,0.14285714285714285,6,6,62
20240826,7,6,14,449.98256957142854,0.42857142857142855,4,3,39
20240830,7,6,12,66.846348142857138,0.7142857142857143,2,6,37
20240824,6,6,7,17.956884666666664,0.5,3,4,21
20240808,5,5,9,41.790813,0.4,3,5,29
20240821,5,5,40,451.21208839999997,0.2,4,3,61
20240811,4,4,5,58.795034,0.25,3,4,18
20240812,4,4,6,138.81036075,0.5,2,3,14
20240813,4,4,19,375.65401575,0.25,3,4,52
20240825,4,4,9,74.149931,0.25,3,4,24
20240828,4,2,15,84.92462075,0.5,2,0,21
20240831,4,2,14,84.3014535,0.75,1,2,32
20240806,3,2,44,1116.839999,0.33333333333333331,2,1,68
20240817,3,3,9,35.292883333333329,0.66666666666666663,1,2,21
20240818,3,3,3,0,1,0,2,8
20240822,3,3,8,1040.7713473333333,0,3,2,16
20240901,3,3,17,116.12803000000001,0.33333333333333331,2,3,34
20240805,2,2,8,192.118556,0,2,1,19
20240807,2,2,15,361.5164155,0,2,2,34
20240809,2,2,2,4.8135985,1,0,2,7
20240814,2,2,8,180.828602,0,2,2,24
20240816,2,2,3,36.7319405,0,2,2,10
20240820,2,2,8,1131.681901,0,2,1,24
20240804,1,1,1,16.407396,0,1,1,4
20240810,1,1,6,138.157754,0,1,0,10
20240819,1,1,1,0,1,0,1,3
20240827,1,1,6,334.294283,0,1,1,13
