date,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers,eventCount
04/08/2024,1,1,1,16.407396,0,1,1,4
05/08/2024,2,2,8,192.118556,0,2,1,19
06/08/2024,3,2,44,1116.839999,0.33333333333333331,2,1,68
07/08/2024,2,2,15,361.5164155,0,2,2,34
08/08/2024,5,5,9,41.790813,0.4,3,5,29
09/08/2024,2,2,2,4.8135985,1,0,2,7
10/08/2024,1,1,6,138.157754,0,1,0,10
11/08/2024,4,4,5,58.795034,0.25,3,4,18
12/08/2024,4,4,6,138.81036075,0.5,2,3,14
13/08/2024,4,4,19,375.65401575,0.25,3,4,52
14/08/2024,2,2,8,180.828602,0,2,2,24
15/08/2024,2,2,3,36.7319405,0,2,2,10
16/08/2024,3,3,9,35.292883333333329,0.66666666666666663,1,2,21
17/08/2024,3,3,3,0,1,0,2,8
18/08/2024,1,1,1,0,1,0,1,3
19/08/2024,2,2,8,1131.681901,0,2,1,24
20/08/2024,5,5,40,451.21208839999997,0.2,4,3,61
21/08/2024,3,3,8,1040.7713473333333,0,3,2,16
22/08/2024,7,7,23,154.62283614285712,0.14285714285714285,6,6,62
23/08/2024,6,6,7,17.956884666666664,0.5,3,4,21
24/08/2024,4,4,9,74.149931,0.25,3,4,24
25/08/2024,7,6,14,449.98256957142854,0.42857142857142855,4,3,39
27/08/2024,1,1,6,334.294283,0,1,1,13
28/08/2024,4,2,15,84.92462075,0.5,2,0,21
30/08/2024,7,6,12,66.846348142857138,0.7142857142857143,2,6,37
31/08/2024,4,2,14,84.3014535,0.75,1,2,32
01/09/2024,3,3,17,116.12803000000001,0.33333333333333331,2,3,34
02/09/2024,8,6,48,2170.6941495,0.375,5,4,135
